X,Y,
-144.3527717,15.95029635,
-144.4221534,15.45424643,
-144.5090416,14.96327783,
-144.6156382,14.47453763,
-144.7440852,13.99118263,
-144.8972345,13.51581158,
-145.0768778,13.04916843,
-145.2827456,12.59392788,
-145.5138176,12.1509842,
-145.769223,11.72112403,
-146.0474228,11.30634968,
-146.3478819,10.90692125,
-146.6692956,10.52416595,
-147.0104966,10.1590598,
-147.3702962,9.812274225,
-147.7474266,9.48446195,
-148.140703,9.176188425,
-148.5488817,8.88796395,
-148.9708077,8.620163975,
-149.4052094,8.373168875,
-149.85089,8.14724825,
-150.3068336,7.9425386,
-150.7716679,7.75928445,
-151.2445083,7.597485325,
-151.7242073,7.457210125,
-152.2093944,7.3385253,
-152.6998189,7.2412108,
-153.1937456,7.165352525,
-153.6903174,7.110783775,
-154.1892179,7.077278875,
-154.688579,7.06469585,
-155.1883038,7.072774475,
-155.6874481,7.1012879,
-156.1843566,7.1498777,
-156.6797544,7.218399525,
-157.1717952,7.30640755,
-157.6592139,7.413387875,
-158.1435188,7.5394864,
-158.6219627,7.683804175,
-159.0939202,7.845832575,
-159.5609103,8.025904975,
-160.0201314,8.222786075,
-160.4712249,8.43603505,
-160.9155996,8.666113775,
-161.3509033,8.9114825,
-161.7768947,9.171609075,
-162.1945151,9.4468593,
-162.6022148,9.7359944,
-162.9995716,10.03839403,
-163.3870294,10.3541189,
-163.7640289,10.68245815,
-164.1299227,11.0225209,
-164.48476,11.37399963,
-164.8287831,11.73682883,
-165.161188,12.10982335,
-165.4819845,12.49268685,
-165.7912315,12.88521838,
-166.0886926,13.28667195,
-166.3744515,13.69661845,
-166.6485196,14.11456218,
-166.9107762,14.5398015,
-167.1613815,14.97198328,
-167.400386,15.41086638,
-167.6275736,15.85578898,
-167.8429437,16.3059872,
-168.0472919,16.7622037,
-168.2406184,17.22367765,
-168.4222911,17.6881402,
-168.5934025,18.1577089,
-168.7536497,18.6322231,
-168.9015523,19.10819135,
-169.0388944,19.58924138,
-169.1657396,20.07337903,
-169.2822087,20.55936028,
-169.3888857,21.04820743,
-169.4859868,21.53831898,
-169.5746426,22.0307632,
-169.6551636,22.52339688,
-169.7279896,23.01766275,
-169.7926101,23.5132185,
-169.8491616,24.00959608,
-169.898115,24.50689375,
-169.9397909,25.00482623,
-169.9744711,25.5033895,
-170.002409,26.00236193,
-170.0239047,26.50169778,
